,query,_id,_score,symbol,notfound
427,ENSG00000176845,284207,25.303982,METRNL,
428,ENSG00000181036,343413,25.303982,FCRL6,
429,ENSG00000250305,57604,25.303982,TRMT9B,
430,ENSG00000158710,8407,24.756824,TAGLN2,
431,ENSG00000113924,3081,24.761211,HGD,
432,ENSG00000198899,4508,24.356537,ATP6,
433,ENSG00000156675,80223,25.299124,RAB11FIP1,
434,ENSG00000159714,29800,25.304031,ZDHHC1,
435,ENSG00000168229,5729,24.761631,PTGDR,
436,ENSG00000263603,ENSG00000263603,26.12694,,
437,ENSG00000079482,4983,25.299076,OPHN1,
438,ENSG00000146006,26045,25.304031,LRRTM2,
439,ENSG00000180340,2535,25.304031,FZD2,
440,ENSG00000169413,6039,25.304031,RNASE6,
441,ENSG00000181409,9625,25.304031,AATK,
442,ENSG00000145088,55840,25.299076,EAF2,
443,ENSG00000186407,342510,25.299124,CD300E,
444,ENSG00000166900,6809,25.299124,STX3,
445,ENSG00000198034,6191,24.754364,RPS4X,
446,ENSG00000229647,105373853,25.303558,MYOSLID,
447,ENSG00000010610,920,25.303558,CD4,
448,ENSG00000116667,81563,25.303558,C1orf21,
449,ENSG00000122862,5552,25.299076,SRGN,
450,ENSG00000161944,433,25.303984,ASGR2,
451,ENSG00000197561,1991,25.296564,ELANE,
452,ENSG00000169989,201798,25.299124,TIGD4,
453,ENSG00000240893,101929694,25.299124,LINC02042,
454,ENSG00000198963,6096,25.299076,RORB,
455,ENSG00000075234,55020,25.303982,TTC38,
456,ENSG00000121005,83690,25.303982,CRISPLD1,
457,ENSG00000227757,ENSG00000227757,26.122316,,
458,ENSG00000130396,4301,25.299076,AFDN,
459,ENSG00000175294,117144,24.761631,CATSPER1,
460,ENSG00000108846,8714,25.296564,ABCC3,
461,ENSG00000118508,10981,25.296564,RAB32,
462,ENSG00000112306,6206,24.356588,RPS12,
463,ENSG00000198178,170482,25.304031,CLEC4C,
464,ENSG00000000938,2268,25.303984,FGR,
465,ENSG00000086289,54749,25.303984,EPDR1,
466,ENSG00000140416,7168,24.761679,TPM1,
467,ENSG00000182732,9628,25.303558,RGS6,
468,ENSG00000235927,374987,25.303558,NEXN-AS1,
469,ENSG00000205809,3822,24.761679,KLRC2,
470,ENSG00000177324,139105,24.761679,BEND2,
471,ENSG00000115758,4953,24.76163,ODC1,
472,ENSG00000196209,284759,25.299124,SIRPB2,
473,ENSG00000177300,53842,25.299124,CLDN22,
474,ENSG00000198727,4519,24.76163,CYTB,
475,ENSG00000228058,ENSG00000228058,26.127375,LINC01736,
476,ENSG00000113946,10686,24.356537,CLDN16,
477,ENSG00000011422,5329,24.754364,PLAUR,
478,ENSG00000188483,389792,25.303982,IER5L,
479,ENSG00000181847,201633,24.76163,TIGIT,
480,ENSG00000224850,,,,True
481,ENSG00000197016,388566,25.299124,ZNF470,
482,ENSG00000213694,1903,24.35181,S1PR3,
483,ENSG00000127533,9002,25.299076,F2RL3,
484,ENSG00000100504,5836,25.299124,PYGL,
485,ENSG00000253220,ENSG00000253220,26.11972,,
486,ENSG00000273476,ENSG00000273476,26.122316,,
487,ENSG00000226508,105373984,25.303558,LINC01918,
488,ENSG00000231500,6222,24.756824,RPS18,
489,ENSG00000138061,1545,24.754364,CYP1B1,
490,ENSG00000236653,ENSG00000236653,26.122316,LINC01923,
491,ENSG00000232896,ENSG00000232896,26.12737,,
492,ENSG00000150337,2209,24.356537,FCGR1A,
493,ENSG00000116729,79971,24.356588,WLS,
494,ENSG00000236320,342618,25.303558,SLFN14,
495,ENSG00000163794,7349,24.761679,UCN,
496,ENSG00000182912,ENSG00000182912,26.122316,TSPEAR-AS2,
497,ENSG00000091073,113878,25.299076,DTX2,
498,ENSG00000198938,4514,24.756824,COX3,
499,ENSG00000159713,51673,25.303984,TPPP3,
500,ENSG00000100385,3560,25.296564,IL2RB,
501,ENSG00000179094,5187,24.349392,PER1,
502,ENSG00000166527,338339,25.299124,CLEC4D,
503,ENSG00000197629,219972,25.299124,MPEG1,
504,ENSG00000143067,90874,25.303984,ZNF697,
505,ENSG00000260256,ENSG00000260256,26.12694,,
506,ENSG00000259483,ENSG00000259483,26.127419,,
507,ENSG00000028277,5452,25.296564,POU2F2,
508,ENSG00000261253,ENSG00000261253,26.127375,,
509,ENSG00000116819,339488,25.296564,TFAP2E,
510,ENSG00000160224,326,25.296564,AIRE,
511,ENSG00000131042,10288,24.349392,LILRB2,
512,ENSG00000127720,84190,25.299124,METTL25,
513,ENSG00000246695,ENSG00000246695,26.12694,RASSF8-AS1,
514,ENSG00000272861,ENSG00000272861,26.12694,,
515,ENSG00000169575,7441,25.299076,VPREB1,
516,ENSG00000142541,23521,24.356588,RPL13A,
517,ENSG00000107130,23413,24.356588,NCS1,
518,ENSG00000119862,29094,25.304031,LGALSL,
519,ENSG00000128245,7533,24.356537,YWHAH,
520,ENSG00000159189,714,24.76163,C1QC,
521,ENSG00000119042,23314,24.033083,SATB2,
522,ENSG00000175137,80851,25.303984,SH3BP5L,
523,ENSG00000003436,7035,25.303558,TFPI,
524,ENSG00000151948,144423,25.303558,GLT1D1,
525,ENSG00000054356,5798,25.299124,PTPRN,
526,ENSG00000258554,ENSG00000258554,26.122316,,
527,ENSG00000104894,951,25.299076,CD37,
528,ENSG00000159374,130951,25.299124,M1AP,
529,ENSG00000108839,239,25.299124,ALOX12,
530,ENSG00000136830,64855,25.303982,NIBAN2,
531,ENSG00000272327,,,,True
532,ENSG00000147403,6134,24.761631,RPL10,
533,ENSG00000125968,3397,25.303984,ID1,
534,ENSG00000170955,112464,25.303984,CAVIN3,
535,ENSG00000261754,ENSG00000261754,26.127419,,
536,ENSG00000198763,4536,24.76163,ND2,
537,ENSG00000146376,93663,25.303558,ARHGAP18,
538,ENSG00000167641,94274,25.303558,PPP1R14A,
539,ENSG00000159625,84229,25.299124,DRC7,
540,ENSG00000171777,115727,24.756868,RASGRP4,
541,ENSG00000116406,80267,24.756868,EDEM3,
542,ENSG00000173040,132884,25.303982,EVC2,
543,ENSG00000235568,150372,25.303982,NFAM1,
544,ENSG00000166863,6866,25.299076,TAC3,
545,ENSG00000163661,5806,24.033133,PTX3,
546,ENSG00000168071,283234,24.761679,CCDC88B,
547,ENSG00000230090,ENSG00000230090,26.122316,,
548,ENSG00000128254,25775,25.303984,YWHAH-AS1,
549,ENSG00000176170,8877,24.356537,SPHK1,
550,ENSG00000153071,1601,25.299076,DAB2,
551,ENSG00000267506,ENSG00000267506,26.12694,,
552,ENSG00000122691,7291,24.756824,TWIST1,
553,ENSG00000136250,313,25.299076,AOAH,
554,ENSG00000042493,822,25.296564,CAPG,
555,ENSG00000249252,101929095,25.296564,C1QTNF7-AS1,
556,ENSG00000184060,55803,25.296564,ADAP2,
557,ENSG00000249655,ENSG00000249655,26.127419,,
558,ENSG00000253737,ENSG00000253737,26.12694,,
559,ENSG00000185863,100505993,25.304031,TMEM210,
560,ENSG00000135404,967,24.761679,CD63,
561,ENSG00000260285,ENSG00000260285,26.127419,,
562,ENSG00000048462,608,24.754364,TNFRSF17,
563,ENSG00000133800,10894,25.299076,LYVE1,
564,ENSG00000076944,6813,25.299076,STXBP2,
565,ENSG00000261055,ENSG00000261055,26.11972,,
566,ENSG00000162722,25893,25.303558,TRIM58,
567,ENSG00000105507,56344,25.303558,CABP5,
568,ENSG00000260640,ENSG00000260640,26.122366,,
569,ENSG00000266401,105371967,26.12737,LOC105371967,
570,ENSG00000186818,11006,24.76163,LILRB4,
571,ENSG00000177311,253461,25.303982,ZBTB38,
572,ENSG00000168646,8313,24.356537,AXIN2,
573,ENSG00000164587,6208,24.76163,RPS14,
574,ENSG00000117632,3925,25.303982,STMN1,
575,ENSG00000119457,57864,24.761631,SLC46A2,
576,ENSG00000250714,ENSG00000250714,26.12694,,
577,ENSG00000243449,401115,25.296564,C4orf48,
578,ENSG00000118520,383,24.761211,ARG1,
579,ENSG00000101194,63910,25.299076,SLC17A9,
580,ENSG00000167703,124935,25.304031,SLC43A2,
581,ENSG00000256039,101060038,25.303984,LINC02446,
582,ENSG00000153563,925,24.756868,CD8A,
583,ENSG00000050393,63933,25.299124,MCUR1,
584,ENSG00000198853,9853,25.304031,RUSC2,
585,ENSG00000007350,8277,25.299076,TKTL1,
586,ENSG00000164713,25798,25.299076,BRI3,
587,ENSG00000119655,10577,25.303984,NPC2,
